scenario,model,auroc,auprc,f1,sensitivity,specificity,brier,primary
ACE inhibitor / ARB → Hyperkalemia,LogisticRegression,0.9341,0.5685,0.5376,0.8741,0.8854,0.0896,False
ACE inhibitor / ARB → Hyperkalemia,RandomForest,0.9495,0.7392,0.6965,0.7298,0.9696,0.0367,False
ACE inhibitor / ARB → Hyperkalemia,XGBoost,0.9552,0.7672,0.6915,0.6324,0.9836,0.032,True
ACE inhibitor / ARB → Hyperkalemia,LightGBM,0.9524,0.77,0.6853,0.6195,0.9843,0.0321,False
Warfarin → Elevated INR / Bleeding risk,LogisticRegression,0.9127,0.7212,0.6261,0.8276,0.8813,0.0953,False
Warfarin → Elevated INR / Bleeding risk,RandomForest,0.9238,0.7682,0.7353,0.7744,0.9517,0.055,False
Warfarin → Elevated INR / Bleeding risk,XGBoost,0.9284,0.7909,0.7405,0.7112,0.9695,0.0495,True
Warfarin → Elevated INR / Bleeding risk,LightGBM,0.9243,0.7843,0.737,0.7026,0.9703,0.0513,False
Metformin → Renal function decline,LogisticRegression,0.964,0.6949,0.4434,0.932,0.9053,0.0675,False
Metformin → Renal function decline,RandomForest,0.9674,0.7389,0.7207,0.7767,0.9842,0.0181,False
Metformin → Renal function decline,XGBoost,0.9738,0.8141,0.7513,0.7184,0.9919,0.0143,True
Metformin → Renal function decline,LightGBM,0.9645,0.7949,0.7474,0.6893,0.9935,0.016,False
